date,geo,hashtags,id,text,type,username,road_closure
2016-11-28 20:53:31+00:00,,,803341071266811904, Northbound at exit is shutdown to this accident ,official,chrisWSOC9,0
2016-11-19 01:55:52+00:00,,,799793282498838528,Just your ty al halftime score here at Marvin Ridge ,official,chrisWSOC9,0
2016-11-19 01:39:01+00:00,,,799789040421765122,Hey stop me if you heard this but Marvin Ridge just scored again th of the half Still have mins left ,official,chrisWSOC9,0
2016-11-19 01:34:38+00:00,,,799787940222300160,No worries Concord scored in like a min Still mins left in the half Concord ,official,chrisWSOC9,0
2016-11-19 01:31:57+00:00,,,799787261617389568,Whoever wins this Concord Marvin Ridge game will be working on their d in practice ,official,chrisWSOC9,0
2016-11-19 01:27:48+00:00,,,799786220423409668, Marvin Ridge lead Concord and we are not even at half Oprah must be handing out TDs tonight here ,official,chrisWSOC9,0
2016-11-16 16:05:48+00:00,,,798920011322638336,you ,official,chrisWSOC9,0
2016-11-16 15:56:48+00:00,,,798917747463876609,Some smoke in the air today in Charlotte wsoctv ,official,chrisWSOC9,0
2016-11-05 19:21:24+00:00,,,794982968267837440, ChelseaClinton has taken the stage in Charlotte ,official,chrisWSOC9,0
2016-11-05 18:28:54+00:00,,,794969756248014848,People waiting outside for an event featuring ChelseaClinton in Charlotte ,official,chrisWSOC9,0
2016-11-05 16:04:07+00:00,,#earlyvote #voting #GetouttheVote #Election #voteearlypic,794933320731738112,The #ear vote line at the Beatties Ford Library in Charlotte Lots of ppl #voting today wsoctv #GetouttheVote #Election # ,official,chrisWSOC9,0
2016-11-05 02:35:41+00:00,,,794729870886666240,Shelby beats Crest in a close one This little one will be celebrating tonight ,official,chrisWSOC9,0
2016-11-05 01:30:15+00:00,,,794713406209146880, Shelby Shelbys kicker is for Is it too late to add him to my fantasy roster ,official,chrisWSOC9,0
2016-11-05 01:25:03+00:00,,,794712095552110592,This Shelby Crest game has everything Td sacks a safety kid in lion costume fgs player fair catching on own one ,official,chrisWSOC9,0
2016-11-05 00:43:19+00:00,,,794701595804102657,We got ourselves a game at Crest All tied ,official,chrisWSOC9,0
2016-11-04 23:22:54+00:00,,,794681356160790530,Both sides are filled and people sitting in the lawn at Crest ,official,chrisWSOC9,0
2016-11-04 23:19:56+00:00,,,794680609557848065,There is on  a few people here for this game between Shelby and Crest ,official,chrisWSOC9,0
2016-11-01 01:40:19+00:00,,,793266388622336000,I am doing pretty good ,official,chrisWSOC9,0
2016-10-31 21:28:03+00:00,,,793202903859159040, ,official,chrisWSOC9,0
2016-10-31 21:00:47+00:00,,#MNF #DaBearspic,793196039301894144,Hey BlakeWSOC you ready for #MNF # ,official,chrisWSOC9,0
2016-10-29 00:39:49+00:00,,,792163998519193601,Catholic leading at the half ,official,chrisWSOC9,0
2016-10-29 00:03:16+00:00,,,792154800452431872,Catholic leading in the nd ,official,chrisWSOC9,0
2016-10-26 20:51:34+00:00,,,791381783405363201,Donald Trump is now speaking ,official,chrisWSOC9,0
2016-10-26 20:02:14+00:00,,,791369364310257669,Always a good day when you get both AllieSpil ards and BlakeWSOC at the same ,official,chrisWSOC9,0
2016-10-22 00:22:51+00:00,,,789623012320419840,Latin up at the half ,official,chrisWSOC9,0
2016-10-21 23:36:05+00:00,,,789611243438997508,Latin leads Christian after ,official,chrisWSOC9,0
2016-10-20 17:41:40+00:00,,,789159662235033600,give yourself like mins to an hour for West Blvd voting site right now I took me mins ,official,chrisWSOC9,0
2016-10-20 16:55:39+00:00,,,789148085788303360,Line at West Blvd Library for ear  voting ,official,chrisWSOC9,0
2016-10-19 17:55:31+00:00,,,788800763480932352,just told it was an attempted robbery Suspect fired a shot in the store No one was hit by the bullet ,official,chrisWSOC9,0
2016-10-19 17:54:39+00:00,,,788800542608879616,Police are looking for a suspect who fired a shot in an attempted robbery of the Fami  Dollar on valleydale ,official,chrisWSOC9,0
