date,geo,hashtags,id,text,type,username
2019-08-02 13:12:24,,[],1157277973734678528,"Updated: Crash in Duval on SR-202 / Butler Blvd west at I-295 E, right lane blocked. Last updated at 09:12:02AM. https://t.co/D0G8dvGzZY",official,fl511_northeast
2019-08-02 13:06:27,,"[{'text': 'ANJTraffic', 'indices': [38, 49]}]",1157276473583120384,Good News!! Project wrapped early!!!! #ANJTraffic @ActionNewsJax @WOKVNews https://t.co/NpDbesQ33Z,official,ActionTraffic
2019-08-02 13:04:02,,[],1157275867476836357,Roosevelt Boulevard and San Juan Avenue railroad crossing reconstruction is complete and the intersection has reopened.,official,JSOPIO
2019-08-02 12:46:32,,[],1157271464728518657,"Year to Date in 2019:
101 Traffic Fatalities in Duval County.

🚗vs🚶🏻‍♂️= 27 (27%)
🚗vs🚙= 26 (26%)
🚙= 26 (26%)
🚗vs🏍=… https://t.co/17i9MYQLYa",official,JSOPIO
2019-08-02 11:48:59,,[],1157256980781813760,Jacksonville:  There will be lane closure on New Kings Rd northbound from Dunn Ave to Woodley Rd due to...https://t.co/q6rZmrGQeC,official,fl511_northeast
2019-08-02 11:37:23,,"[{'text': 'ANJTraffic', 'indices': [100, 111]}]",1157254061160304647,Gas Prices on the decline! Maybe time for that weekend trip....check it out https://t.co/Bkju9HLiZ2 #ANJTraffic… https://t.co/qw9LwwvpIq,official,ActionTraffic
2019-08-02 11:33:09,,[],1157252993621868545,RT @fl511_state: It’s almost time to head back-to-school. Use FL511 to guide you to a store during Florida’s back-to-school sales tax holid…,official,fl511_northeast
2019-08-02 11:12:34,,[],1157247817469050882,"New: Disabled vehicle in Duval on I-295 E south at Dames Point, right lane blocked. Last updated at 07:10:14AM....https://t.co/0aP1cKGGuX",official,fl511_northeast
2019-08-02 11:09:19,,[],1157246997734277120,"Cleared: Planned construction in Clay on SR-21 / Blanding Blvd south at CR-220, left lane blocked. Last updated at 06:44:35AM.",official,fl511_northeast
2019-08-02 10:45:18,,[],1157240954912477187,"New: Planned construction in Clay on SR-21 / Blanding Blvd south at CR-220, left lane blocked. Last updated at...https://t.co/eAuJuIyfoT",official,fl511_northeast
2019-08-02 10:34:38,,"[{'text': 'ANJTraffic', 'indices': [62, 73]}]",1157238267282173954,635a- BIG 3 travel times ....no problems on the early commute #ANJTraffic @ActionNewsJax @WOKVNews https://t.co/F2HB25ESCl,official,ActionTraffic
2019-08-02 10:23:41,,[],1157235514740813824,A Florida Silver Alert has been activated for John Fazzino out of St. Lucie County. Look for a 2000 White...https://t.co/q6rZmrGQeC,official,fl511_northeast
2019-08-02 10:17:13,,[],1157233885262045184,Time to prepare for school buses to be on the road! Check out the rules depending on what type of roadway you are o… https://t.co/a0ws2zOpLg,official,ActionTraffic
2019-08-02 09:24:13,,[],1157220547576639489,"Cleared: Planned construction in Duval on I-10 east at Exit 343 US-301, left lane blocked. Last updated at 08:35:30PM.",official,fl511_northeast
2019-08-02 08:42:12,,[],1157209975091056640,"Cleared: Planned construction in Duval on I-295 W south ramp from Exit 33 Duval Rd, off-ramp closed. Last updated at 10:33:12PM.",official,fl511_northeast
2019-08-02 06:58:12,,[],1157183800495038464,"Cleared: Planned construction in Duval on I-295 W south beyond I-95, left lane blocked. Last updated at 10:36:33PM.",official,fl511_northeast
2019-08-02 06:57:13,,[],1157183555937718272,"Cleared: Planned construction in Duval on I-295 W north beyond Duval Rd, left lane blocked. Last updated at 12:56:13AM.",official,fl511_northeast
2019-08-02 06:57:13,,[],1157183555472109569,"Cleared: Planned construction in Duval on SR-202 / Butler Blvd east ramp from Gate Pkwy, on-ramp closed. Last updated at 10:20:30PM.",official,fl511_northeast
2019-08-02 05:56:13,,[],1157168204365647872,"Cleared: Planned construction in Duval on SR-202 / Butler Blvd west beyond I-295 E, 2 right lanes blocked. Last updated at 10:19:33PM.",official,fl511_northeast
2019-08-02 05:56:13,,[],1157168203883261957,"Cleared: Planned construction in Duval on I-295 E south ramp to Exit 53 Butler, off-ramp closed. Last updated at 10:20:04PM.",official,fl511_northeast
2019-08-02 05:41:14,,[],1157164434185318400,"RT @Jessica82041306: @JSOPIO Officer Gilliland, thank you for stopping earlier tonight to help me, I can't tell you how much of a relief it…",official,JSOPIO
2019-08-02 05:40:14,,[],1157164179456811009,"Cleared: Planned construction in Duval on I-95 north at Atlantic Blvd, 2 right lanes blocked. Last updated at 10:52:08PM.",official,fl511_northeast
2019-08-02 04:57:15,,[],1157153362191630337,"New: Planned construction in Duval on I-295 W north beyond Duval Rd, left lane blocked. Last updated at...https://t.co/7Lj5SfDkyv",official,fl511_northeast
2019-08-02 04:55:12,,[],1157152846057357313,"Cleared: Planned construction in Duval on I-295 W north ramp from Exit 33 Duval Rd, right lane blocked. Last updated at 09:54:45PM.",official,fl511_northeast
2019-08-02 02:37:22,,[],1157118160446873600,"Updated: Planned construction in Duval on I-295 W south beyond I-95, left lane blocked. Last updated at 10:36:33PM. https://t.co/hyo0KIW4eg",official,fl511_northeast
2019-08-02 02:35:10,,[],1157117606677159936,"New: Planned construction in Duval on I-295 W south beyond I-95, right lane blocked. Last updated at 10:34:56PM....https://t.co/hyo0KIW4eg",official,fl511_northeast
2019-08-02 02:34:14,,[],1157117372744044544,"New: Planned construction in Duval on I-295 W south ramp from Exit 33 Duval Rd, off-ramp closed. Last updated at...https://t.co/2g4buEYzLU",official,fl511_northeast
2019-08-02 02:29:14,,[],1157116112984793088,"Updated: Planned construction in Duval on I-95 north at Atlantic Blvd, 2 right lanes blocked. Last updated at...https://t.co/ojUCihFcAc",official,fl511_northeast
2019-08-02 02:26:31,,[],1157115429527199744,"Cleared: Crash in Columbia on I-10 east at Exit 296 I-75, all lanes blocked. Last updated at 09:58:26PM.",official,fl511_northeast
2019-08-02 02:23:18,,"[{'text': 'fl511', 'indices': [108, 114]}]",1157114622161444864,"New: Disabled vehicle in Columbia on I-10 east before I-75, right lane blocked. Last updated at 10:22:19PM. #fl511 https://t.co/CWIdnzTVQB",official,fl511_northeast
2019-08-02 02:21:11,,[],1157114089447014400,"New: Planned construction in Duval on SR-202 / Butler Blvd east ramp from Gate Pkwy, on-ramp closed. Last updated...https://t.co/rWcTLjtVMX",official,fl511_northeast
2019-08-02 02:20:17,,[],1157113863038541824,"New: Planned construction in Duval on I-295 E south ramp to Exit 53 Butler, off-ramp closed. Last updated at...https://t.co/g9iemrL196",official,fl511_northeast
2019-08-02 02:20:17,,[],1157113862392557570,"New: Planned construction in Duval on SR-202 / Butler Blvd west beyond I-295 E, 2 right lanes blocked. Last...https://t.co/aY9tlJo1Go",official,fl511_northeast
2019-08-02 01:59:23,,[],1157108604358549504,"Updated: Planned construction in Alachua on SR-24 / Archer Rd east at I-75, right lane blocked. Last updated at...https://t.co/9iEtUCd2FY",official,fl511_northeast
2019-08-02 01:59:23,,[],1157108603792351232,"Updated: Crash in Columbia on I-10 east at Exit 296 I-75, all lanes blocked. Last updated at 09:58:26PM. https://t.co/Wu7Qpl6W5E",official,fl511_northeast
2019-08-02 01:57:10,,[],1157108045589241856,"Updated: Crash in Columbia on I-10 east at Exit 296 I-75, all lanes blocked. Last updated at 09:56:54PM. https://t.co/Wu7Qpl6W5E",official,fl511_northeast
2019-08-02 01:55:11,,[],1157107544378224641,"New: Planned construction in Duval on I-295 W north ramp from Exit 33 Duval Rd, right lane blocked. Last updated...https://t.co/dHoQ3uNqx4",official,fl511_northeast
2019-08-02 01:41:20,,[],1157104057875599360,"Updated: Crash in Columbia on I-10 east ramp to Exit 296 I-75, all lanes blocked. Last updated at 09:40:24PM. https://t.co/Wu7Qpl6W5E",official,fl511_northeast
2019-08-02 01:37:47,,[],1157103165143244801,"🔴🔵
🔵🔴
🔴🔵
🔵🔴
🔴🔵
🔵🔴
🔴🔵
🔵🔴
🔴🔵
🔵🔴
🔴🔵
🔵🔴
🔴🔵
🔵🔴
🔴🔵
🔵🔴
🔴🔵
Don’t wake up in the morning having to see these lights on your… https://t.co/bI5cWxUWyU",official,JSOPIO
2019-08-02 01:28:32,,[],1157100837669343232,"Updated: Crash in Columbia on I-10 east ramp from Exit 296 I-75, all lanes blocked. Last updated at 09:25:21PM. https://t.co/Wu7Qpl6W5E",official,fl511_northeast
2019-08-02 01:28:16,,[],1157100769914609666,Lake City: On I-10 EB at I-75 all eastbound lanes are blocked due to a crash. Use caution in the area. https://t.co/q6rZmrGQeC,official,fl511_northeast
2019-08-02 01:25:29,,"[{'text': 'fl511', 'indices': [108, 114]}]",1157100069725888512,"New: Crash in Columbia on I-10 east ramp from Exit 296 I-75, all lanes blocked. Last updated at 09:24:58PM. #fl511 https://t.co/Wu7Qpl6W5E",official,fl511_northeast
2019-08-02 01:23:13,,[],1157099499967459329,Satsuma: On US-17 from Horse Landing Road to San Mateo Drive there will be lane closures due to construction. Use...https://t.co/q6rZmrGQeC,official,fl511_northeast
2019-08-02 01:18:17,,[],1157098257694240768,"New: Planned construction in Duval on I-95 north at Atlantic Blvd, right lane blocked. Last updated at...https://t.co/ojUCihFcAc",official,fl511_northeast
2019-08-02 00:54:54,,"[{'text': 'JSO', 'indices': [20, 24]}]",1157092376340549632,FANG was one of our #JSO K-9’s who was shot and killed in the line of duty recently.  @JaxIcemen officially named t… https://t.co/zfA4lusSOm,official,JSOPIO
2019-08-02 00:36:12,,[],1157087670520168450,"New: Planned construction in Duval on I-10 east at Exit 343 US-301, left lane blocked. Last updated at...https://t.co/ySXJDuYwA0",official,fl511_northeast
2019-08-02 00:27:16,,[],1157085421102350336,"Cleared: Crash in Duval on I-95 north ramp to Main St Bridge, left lane blocked. Last updated at 08:12:41PM.",official,fl511_northeast
2019-08-02 00:24:12,,[],1157084647513382915,"Cleared: Planned construction in St Johns on SR-206 east at Intracoastal, all lanes blocked. Last updated at 05:56:10PM.",official,fl511_northeast
2019-08-02 00:13:19,,[],1157081907810770945,"Updated: Crash in Duval on I-95 north ramp to Main St Bridge, left lane blocked. Last updated at 08:12:41PM. https://t.co/iwXtCXra5l",official,fl511_northeast
2019-08-01 23:53:10,,[],1157076840550473730,"Cleared: Disabled vehicle in Duval on I-295 W south at Exit 32 Lem Turner, left lane blocked. Last updated at 07:44:15PM.",official,fl511_northeast
