date,text,type,username,tweet,state,road_closure,modified_text,location
2019-07-31 19:57:12,updated  disabled vehicle in duval on i-295 e south at dames point right lane blocked  last updated at 03 56 35pm   ,official,fl511_northeast,Updated  Disabled vehicle in Duval on I-295 E south at Dames Point right lane blocked  Last updated at 03 56 35PM   ,Florida,1,At Updated  Disabled Vehicle At Duval At Interstate 295 East South At Dames Point Right Lane Blocked  Last Updated At 03 56 35Pm   ,"{'Dames Point', 'Interstate 295 East South'}"
2019-07-31 19:53:12,updated  disabled vehicle in duval on i-295 e south at dames point 2 right lanes blocked  last updated at    ,official,fl511_northeast,Updated  Disabled vehicle in Duval on I-295 E south at Dames Point 2 right lanes blocked  Last updated at    ,Florida,1,At Updated  Disabled Vehicle At Duval At Interstate 295 East South At Dames Point 2 Right Lanes Blocked  Last Updated At    ,"{'Interstate 295 East South', 'Dames Point 2'}"
2019-07-31 19:49:14,updated  disabled vehicle in duval on i-295 e south at dames point right lane blocked  last updated at 03 48 15pm   ,official,fl511_northeast,Updated  Disabled vehicle in Duval on I-295 E south at Dames Point right lane blocked  Last updated at 03 48 15PM   ,Florida,1,At Updated  Disabled Vehicle At Duval At Interstate 295 East South At Dames Point Right Lane Blocked  Last Updated At 03 48 15Pm   ,"{'Dames Point', 'Interstate 295 East South'}"
2019-07-31 19:33:16,new  disabled vehicle in duval on i-295 e south at dames point right lane blocked  last updated at 03 31 12pm     ,official,fl511_northeast,New  Disabled vehicle in Duval on I-295 E south at Dames Point right lane blocked  Last updated at 03 31 12PM     ,Florida,1,At New  Disabled Vehicle At Duval At Interstate 295 East South At Dames Point Right Lane Blocked  Last Updated At 03 31 12Pm     ,"{'Dames Point', 'Interstate 295 East South'}"
2019-07-31 18:58:11,updated  object on roadway in st johns on i-95 north at exit 318 sr-16 right lane blocked  last updated at    ,official,fl511_northeast,Updated  Object on roadway in St Johns on I-95 north at Exit 318 SR-16 right lane blocked  Last updated at    ,Florida,1,At Updated  Object At Roadway At St Johns At Interstate 95 North At Exit 318 Sr-16 Right Lane Blocked  Last Updated At    ,"{'Sr-16 Right Lane Blocked', 'Johns', 'Interstate 95 North At Exit'}"
2019-07-31 18:17:07,updated  emergency road construction in st johns on i-95 south at exit 298 us-1 2 right lanes blocked  last    ,official,fl511_northeast,Updated  Emergency road construction in St Johns on I-95 south at Exit 298 US-1 2 right lanes blocked  Last    ,Florida,1,At Updated  Emergency Road Construction At St Johns At Interstate 95 South At Exit 298 Us-1 2 Right Lanes Blocked  Last    ,"{'Interstate 95 South', 'Johns', 'Exit 298'}"
2019-07-31 18:03:22,updated  emergency road construction in st johns on i-95 south at exit 298 us-1 right lane blocked  last updated    ,official,fl511_northeast,Updated  Emergency road construction in St Johns on I-95 south at Exit 298 US-1 right lane blocked  Last updated    ,Florida,1,At Updated  Emergency Road Construction At St Johns At Interstate 95 South At Exit 298 Us-1 Right Lane Blocked  Last Updated    ,"{'Interstate 95 South', 'Johns', 'Exit 298'}"
2019-07-31 17:36:22,updated  planned construction in columbia on i-10 west ramp to exit 296 i-75 right lane blocked  last updated at    ,official,fl511_northeast,Updated  Planned construction in Columbia on I-10 west ramp to Exit 296 I-75 right lane blocked  Last updated at    ,Florida,1,At Updated  Planned Construction At Columbia At Interstate 10 West Ramp To Exit 296 Interstate 75 Right Lane Blocked  Last Updated At    ,{'Interstate 10 West Ramp To Exit 296 Interstate 75 Right Lane'}
2019-07-31 17:34:09,palatka  all lanes blocked on sr-20 from oak st to st johns ave due to construction  use caution in the area   ,official,fl511_northeast,Palatka  All Lanes blocked on SR-20 from Oak St to St Johns Ave due to construction  Use caution in the area   ,Florida,1,At Palatka  All Lanes Blocked At Sr-20 From Oak St To St Johns Ave Due To Construction  Use Caution At The Area   ,
2019-07-31 17:05:11,satsuma  on us-17 at duns creek the right lane is blocked due to construction  use caution in the area    ,official,fl511_northeast,Satsuma  On US-17 at Duns Creek the right lane is blocked due to construction  Use caution in the area    ,Florida,1,At Satsuma  On Us-17 At Duns Creek The Right Lane Is Blocked Due To Construction  Use Caution At The Area    ,{'Duns Creek'}
2019-07-31 16:19:08,updated  vehicle on fire in st johns on i-95 south at exit 298 us-1 right lane blocked  last updated at 12 18 14pm   ,official,fl511_northeast,Updated  Vehicle on fire in St Johns on I-95 south at Exit 298 US-1 right lane blocked  Last updated at 12 18 14PM   ,Florida,1,At Updated  Vehicle At Fire At St Johns At Interstate 95 South At Exit 298 Us-1 Right Lane Blocked  Last Updated At 12 18 14Pm   ,"{'Interstate 95 South', 'Johns', 'Exit 298'}"
2019-07-31 16:18:07,updated  emergency vehicles in st johns on i-95 south at exit 298 us-1 right lane blocked  last updated at    ,official,fl511_northeast,Updated  Emergency vehicles in St Johns on I-95 south at Exit 298 US-1 right lane blocked  Last updated at    ,Florida,1,At Updated  Emergency Vehicles At St Johns At Interstate 95 South At Exit 298 Us-1 Right Lane Blocked  Last Updated At    ,"{'Interstate 95 South', 'Johns', 'Exit 298'}"
2019-07-31 16:07:05,updated  disabled vehicle in duval on i-295 w south beyond i-95 left lane blocked  last updated at 12 06 14pm   ,official,fl511_northeast,Updated  Disabled vehicle in Duval on I-295 W south beyond I-95 left lane blocked  Last updated at 12 06 14PM   ,Florida,1,At Updated  Disabled Vehicle At Duval At Interstate 295 West South Beyond Interstate 95 Left Lane Blocked  Last Updated At 12 06 14Pm   ,{'Interstate 295 West South Beyond Interstate 95 Left Lane'}
2019-07-31 16:06:14,updated  disabled vehicle in duval on i-295 w south beyond i-95 left lane blocked  last updated at 12 05 43pm   ,official,fl511_northeast,Updated  Disabled vehicle in Duval on I-295 W south beyond I-95 left lane blocked  Last updated at 12 05 43PM   ,Florida,1,At Updated  Disabled Vehicle At Duval At Interstate 295 West South Beyond Interstate 95 Left Lane Blocked  Last Updated At 12 05 43Pm   ,{'Interstate 295 West South Beyond Interstate 95 Left Lane'}
2019-07-31 15:56:15,new  draw bridge in up position in duval on main street bridge north at st johns river all lanes blocked  last    ,official,fl511_northeast,New  Draw bridge in up position in Duval on Main Street Bridge north at St Johns River all lanes blocked  Last    ,Florida,1,At New  Draw Bridge At Up Position At Duval At Main Street Bridge North At St Johns River All Lanes Blocked  Last    ,"{'St Johns River', 'Main Street Bridge'}"
2019-07-31 15:56:15,new  draw bridge in up position in duval on main street bridge north at st johns river all lanes blocked  last    ,official,fl511_northeast,New  Draw bridge in up position in Duval on Main Street Bridge north at St Johns River all lanes blocked  Last    ,Florida,1,At New  Draw Bridge At Up Position At Duval At Main Street Bridge North At St Johns River All Lanes Blocked  Last    ,"{'St Johns River', 'Main Street Bridge'}"
2019-07-31 15:55:07,new  disabled vehicle in duval on i-295 w south beyond i-95 left lane blocked  last updated at 11 54 03am  #fl511  ,official,fl511_northeast,New  Disabled vehicle in Duval on I-295 W south beyond I-95 left lane blocked  Last updated at 11 54 03AM  #fl511  ,Florida,1,At New  Disabled Vehicle At Duval At Interstate 295 West South Beyond Interstate 95 Left Lane Blocked  Last Updated At 11 54 03Am  #Fl511  ,{'Interstate 295 West South Beyond Interstate 95 Left Lane'}
2019-07-31 15:27:11,new  draw bridge in up position in duval on main street bridge south at st johns river all lanes blocked  last    ,official,fl511_northeast,New  Draw bridge in up position in Duval on Main Street Bridge south at St Johns River all lanes blocked  Last    ,Florida,1,At New  Draw Bridge At Up Position At Duval At Main Street Bridge South At St Johns River All Lanes Blocked  Last    ,"{'Main Street', 'St Johns River'}"
2019-07-31 15:27:11,new  draw bridge in up position in duval on main street bridge north at st johns river all lanes blocked  last    ,official,fl511_northeast,New  Draw bridge in up position in Duval on Main Street Bridge north at St Johns River all lanes blocked  Last    ,Florida,1,At New  Draw Bridge At Up Position At Duval At Main Street Bridge North At St Johns River All Lanes Blocked  Last    ,"{'St Johns River', 'Main Street Bridge'}"
2019-07-31 14:05:06,updated  crash involving truck in duval on i-10 west beyond mcduff right lane blocked  last updated at 10 04 54am   ,official,fl511_northeast,Updated  Crash involving truck in Duval on I-10 west beyond Mcduff right lane blocked  Last updated at 10 04 54AM   ,Florida,1,At Updated  Crash Involving Truck At Duval At Interstate 10 West Beyond Mcduff Right Lane Blocked  Last Updated At 10 04 54Am   ,{'Interstate 10 West Beyond Mcduff'}
2019-07-31 13:49:09,updated  crash in duval on i-10 west beyond mcduff right lane blocked  last updated at 09 48 44am   ,official,fl511_northeast,Updated  Crash in Duval on I-10 west beyond Mcduff right lane blocked  Last updated at 09 48 44AM   ,Florida,1,At Updated  Crash At Duval At Interstate 10 West Beyond Mcduff Right Lane Blocked  Last Updated At 09 48 44Am   ,{'Interstate 10 West Beyond Mcduff'}
2019-07-31 13:34:20,jacksonville  on university blvd north at river rd all nb lanes are closed due to a crash  use caution and seek    ,official,fl511_northeast,Jacksonville  On University Blvd North at River Rd all NB lanes are closed due to a crash  Use caution and seek    ,Florida,1,At Jacksonville  On University Blvd North At River Rd All Northboundlanes Are Closed Due To A Crash  Use Caution And Seek    ,"{'Jacksonville', 'University Blvd North', 'River Rd'}"
2019-07-31 12:49:10,new  planned construction in duval on sr-105   heckscher dr west at imeson park blvd right lane blocked  last    ,official,fl511_northeast,New  Planned construction in Duval on SR-105   Heckscher Dr west at Imeson Park Blvd right lane blocked  Last    ,Florida,1,At New  Planned Construction At Duval At Sr-105   Heckscher Dr West At Imeson Park Blvd Right Lane Blocked  Last    ,{'Imeson Park Blvd Right Lane'}
2019-07-31 12:47:05,new  planned construction in duval on sr-105   heckscher dr east at imeson park blvd right lane blocked  last    ,official,fl511_northeast,New  Planned construction in Duval on SR-105   Heckscher Dr east at Imeson Park Blvd right lane blocked  Last    ,Florida,1,At New  Planned Construction At Duval At Sr-105   Heckscher Dr East At Imeson Park Blvd Right Lane Blocked  Last    ,{'Imeson Park Blvd Right Lane'}
2019-07-31 12:43:23,   there will be lane closures on us-1 between sr-206 and i-95  use caution in the area   ,official,fl511_northeast,   There will be lane closures on US-1 between SR-206 and I-95  Use caution in the area   ,Florida,1,At    There Will Be Lane Closures At Us-1 At Sr-206 And Interstate 95  Use Caution At The Area   ,"{'Interstate 95  Use Caution', 'The Area   '}"
2019-07-31 11:38:18,updated  vehicle on fire in st johns on i-95 south at exit 298 us-1 2 right lanes blocked  last updated at    ,official,fl511_northeast,Updated  Vehicle on fire in St Johns on I-95 south at Exit 298 US-1 2 right lanes blocked  Last updated at    ,Florida,1,At Updated  Vehicle At Fire At St Johns At Interstate 95 South At Exit 298 Us-1 2 Right Lanes Blocked  Last Updated At    ,"{'Interstate 95 South', 'Johns', 'Exit 298'}"
2019-07-31 11:27:06,new  vehicle on fire in st johns on i-95 south at exit 298 us-1 2 right lanes blocked  last updated at    ,official,fl511_northeast,New  Vehicle on fire in St Johns on I-95 south at Exit 298 US-1 2 right lanes blocked  Last updated at    ,Florida,1,At New  Vehicle At Fire At St Johns At Interstate 95 South At Exit 298 Us-1 2 Right Lanes Blocked  Last Updated At    ,"{'Interstate 95 South', 'Exit 298'}"
2019-07-31 11:26:52,725a- big 3 travel times   i 10 starting to slow down #anjtraffic  actionnewsjax  wokvnews  ,official,ActionTraffic,725a- BIG 3 travel times   I 10 starting to slow down #ANJTraffic  ActionNewsJax  WOKVNews  ,Florida,1,At 725A- Big 3 Travel Times   I 10Streetarting To Slow Down #Anjtraffic  Actionnewsjax  Wokvnews  ,
2019-07-31 11:03:08,updated  emergency vehicles in st johns on i-95 south ramp to exit 298 us-1 2 right lanes blocked  last updated    ,official,fl511_northeast,Updated  Emergency vehicles in St Johns on I-95 south ramp to Exit 298 US-1 2 right lanes blocked  Last updated    ,Florida,1,At Updated  Emergency Vehicles At St Johns At Interstate 95 South Ramp To Exit 298 Us-1 2 Right Lanes Blocked  Last Updated    ,"{'Interstate 95 South Ramp To Exit 298', 'Johns'}"
2019-07-31 10:46:05,updated  emergency vehicles in st johns on i-95 south ramp to exit 298 us-1 off-ramp closed 2 right lanes    ,official,fl511_northeast,Updated  Emergency vehicles in St Johns on I-95 south ramp to Exit 298 US-1 off-ramp closed 2 right lanes    ,Florida,1,At Updated  Emergency Vehicles At St Johns At Interstate 95 South Ramp To Exit 298 Us-1 Off-Ramp Closed 2 Right Lanes    ,"{'Interstate 95 South Ramp To Exit 298', 'Johns'}"
2019-07-31 10:44:08,updated  emergency vehicles in st johns on i-95 south at exit 298 us-1 2 right lanes blocked  last updated at    ,official,fl511_northeast,Updated  Emergency vehicles in St Johns on I-95 south at Exit 298 US-1 2 right lanes blocked  Last updated at    ,Florida,1,At Updated  Emergency Vehicles At St Johns At Interstate 95 South At Exit 298 Us-1 2 Right Lanes Blocked  Last Updated At    ,"{'Interstate 95 South', 'Johns', 'Exit 298'}"
2019-07-31 10:43:10,updated  vehicle on fire in st johns on i-95 south beyond us-1 all lanes blocked  last updated at 06 42 24am   ,official,fl511_northeast,Updated  Vehicle on fire in St Johns on I-95 south beyond US-1 all lanes blocked  Last updated at 06 42 24AM   ,Florida,1,At Updated  Vehicle At Fire At St Johns At Interstate 95 South Beyond Us-1 All Lanes Blocked  Last Updated At 06 42 24Am   ,"{'Interstate 95 South Beyond', 'Johns'}"
