date,text,type,username,tweet,state,road_closure,modified_text,location
2019-08-02 13:12:24,updated  crash in duval on sr-202   butler blvd west at i-295 e right lane blocked  last updated at 09 12 02am   ,official,fl511_northeast,Updated  Crash in Duval on SR-202   Butler Blvd west at I-295 E right lane blocked  Last updated at 09 12 02AM   ,Florida,1,At Updated  Crash At Duval At Sr-202   Butler Blvd West At Interstate 295 East Right Lane Blocked  Last Updated At 09 12 02Am   ,"{'Interstate', 'Butler Blvd'}"
2019-08-02 11:48:59,jacksonville   there will be lane closure on new kings rd northbound from dunn ave to woodley rd due to    ,official,fl511_northeast,Jacksonville   There will be lane closure on New Kings Rd northbound from Dunn Ave to Woodley Rd due to    ,Florida,1,At Jacksonville   There Will Be Lane Closure At New Kings Rd Northbound From Dunn Ave To Woodley Rd Due To    ,"{'New Kings Rd Northbound From Dunn Ave', 'Woodley Rd', 'Jacksonville'}"
2019-08-02 11:12:34,new  disabled vehicle in duval on i-295 e south at dames point right lane blocked  last updated at 07 10 14am     ,official,fl511_northeast,New  Disabled vehicle in Duval on I-295 E south at Dames Point right lane blocked  Last updated at 07 10 14AM     ,Florida,1,At New  Disabled Vehicle At Duval At Interstate 295 East South At Dames Point Right Lane Blocked  Last Updated At 07 10 14Am     ,"{'Interstate 295 East South', 'Dames Point'}"
2019-08-02 10:45:18,new  planned construction in clay on sr-21   blanding blvd south at cr-220 left lane blocked  last updated at    ,official,fl511_northeast,New  Planned construction in Clay on SR-21   Blanding Blvd south at CR-220 left lane blocked  Last updated at    ,Florida,1,At New  Planned Construction At Clay At Sr-21   Blanding Blvd South At Cr-220 Left Lane Blocked  Last Updated At    ,
2019-08-02 10:34:38,635a- big 3 travel times     no problems on the early commute #anjtraffic  actionnewsjax  wokvnews  ,official,ActionTraffic,635a- BIG 3 travel times     no problems on the early commute #ANJTraffic  ActionNewsJax  WOKVNews  ,Florida,1,At 635A- Big 3 Travel Times     No Problems At The Early Commute #Anjtraffic  Actionnewsjax  Wokvnews  ,
2019-08-02 04:57:15,new  planned construction in duval on i-295 w north beyond duval rd left lane blocked  last updated at    ,official,fl511_northeast,New  Planned construction in Duval on I-295 W north beyond Duval Rd left lane blocked  Last updated at    ,Florida,1,At New  Planned Construction At Duval At Interstate 295 West North Beyond Duval Rd Left Lane Blocked  Last Updated At    ,"{'Interstate', 'West North'}"
2019-08-02 02:37:22,updated  planned construction in duval on i-295 w south beyond i-95 left lane blocked  last updated at 10 36 33pm   ,official,fl511_northeast,Updated  Planned construction in Duval on I-295 W south beyond I-95 left lane blocked  Last updated at 10 36 33PM   ,Florida,1,At Updated  Planned Construction At Duval At Interstate 295 West South Beyond Interstate 95 Left Lane Blocked  Last Updated At 10 36 33Pm   ,{'Interstate 295 West South Beyond Interstate 95'}
2019-08-02 02:35:10,new  planned construction in duval on i-295 w south beyond i-95 right lane blocked  last updated at 10 34 56pm     ,official,fl511_northeast,New  Planned construction in Duval on I-295 W south beyond I-95 right lane blocked  Last updated at 10 34 56PM     ,Florida,1,At New  Planned Construction At Duval At Interstate 295 West South Beyond Interstate 95 Right Lane Blocked  Last Updated At 10 34 56Pm     ,{'Interstate 295 West South Beyond Interstate 95'}
2019-08-02 02:34:14,new  planned construction in duval on i-295 w south ramp from exit 33 duval rd off-ramp closed  last updated at    ,official,fl511_northeast,New  Planned construction in Duval on I-295 W south ramp from Exit 33 Duval Rd off-ramp closed  Last updated at    ,Florida,1,At New  Planned Construction At Duval At Interstate 295 West South Ramp From Exit 33 Duval Rd Off-Ramp Closed  Last Updated At    ,"{'Interstate', 'Exit 33'}"
2019-08-02 02:29:14,updated  planned construction in duval on i-95 north at atlantic blvd 2 right lanes blocked  last updated at    ,official,fl511_northeast,Updated  Planned construction in Duval on I-95 north at Atlantic Blvd 2 right lanes blocked  Last updated at    ,Florida,1,At Updated  Planned Construction At Duval At Interstate 95 North At Atlantic Blvd 2 Right Lanes Blocked  Last Updated At    ,"{'Interstate', ' ', 'Atlantic Blvd 2'}"
2019-08-02 02:23:18,new  disabled vehicle in columbia on i-10 east before i-75 right lane blocked  last updated at 10 22 19pm  #fl511  ,official,fl511_northeast,New  Disabled vehicle in Columbia on I-10 east before I-75 right lane blocked  Last updated at 10 22 19PM  #fl511  ,Florida,1,At New  Disabled Vehicle At Columbia At Interstate 10 East Before Interstate 75 Right Lane Blocked  Last Updated At 10 22 19Pm  #Fl511  ,{'Interstate 10 East Before Interstate 75'}
2019-08-02 02:21:11,new  planned construction in duval on sr-202   butler blvd east ramp from gate pkwy on-ramp closed  last updated    ,official,fl511_northeast,New  Planned construction in Duval on SR-202   Butler Blvd east ramp from Gate Pkwy on-ramp closed  Last updated    ,Florida,1,At New  Planned Construction At Duval At Sr-202   Butler Blvd East Ramp From Gate Pkwy On-Ramp Closed  Last Updated    ,{'Blvd East Ramp From Gate'}
