date,text,type,username,tweet,road_closure,modified_text,location
2016-11-29 23:59:23+00:00,"NEW  Crash in Duval on I-295 E north beyond Philips Hwy, right lane blocked ",official,fl511_northeast,"NEW  Crash in Duval on I-295 E north beyond Philips Hwy, right lane blocked ",1,"At New  Crash At Duval At Interstate 295 East North Beyond Philips Hwy, Right Lane Blocked ",
2016-11-29 23:59:15+00:00,CLEARED  Traffic congestion in Duval on I-95 north from before Fuller Warren to ramp to Exit 351 I-10 ,official,fl511_northeast,CLEARED  Traffic congestion in Duval on I-95 north from before Fuller Warren to ramp to Exit 351 I-10 ,1,At Cleared  Traffic Congestion At Duval At Interstate 95 North From Before Fuller Warren To Ramp To Exit 351 Interstate 10 ,{'Exit 351 Interstate 10'}
2016-11-29 23:54:26+00:00,CLEARED  Traffic congestion in Duval on I-295 W north from Exit 5 San Jose to at Buckman ,official,fl511_northeast,CLEARED  Traffic congestion in Duval on I-295 W north from Exit 5 San Jose to at Buckman ,1,At Cleared  Traffic Congestion At Duval At Interstate 295 West North From Exit 5 San Jose To At Buckman ,"{'Buckman', 'San Jose'}"
2016-11-29 23:49:10+00:00,UPDATE  Traffic congestion in Duval on I-95 north from before Fuller Warren to ramp to Exit 351 I-10 ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-95 north from before Fuller Warren to ramp to Exit 351 I-10 ,1,At Update  Traffic Congestion At Duval At Interstate 95 North From Before Fuller Warren To Ramp To Exit 351 Interstate 10 ,{'Exit 351 Interstate 10'}
2016-11-29 23:49:10+00:00,CLEARED  Traffic congestion in Duval on I-295 E south from Exit 53 Butler to at Exit 56 Baymeadows ,official,fl511_northeast,CLEARED  Traffic congestion in Duval on I-295 E south from Exit 53 Butler to at Exit 56 Baymeadows ,1,At Cleared  Traffic Congestion At Duval At Interstate 295 East South From Exit 53 Butler To At Exit 56 Baymeadows ,"{'East South', 'Exit 56'}"
2016-11-29 23:44:48+00:00,CLEARED  Traffic congestion in Duval on I-95 south from Exit 344 Butler to at Exit 341 Baymeadows ,official,fl511_northeast,CLEARED  Traffic congestion in Duval on I-95 south from Exit 344 Butler to at Exit 341 Baymeadows ,1,At Cleared  Traffic Congestion At Duval At Interstate 95 South From Exit 344 Butler To At Exit 341 Baymeadows ,{'Exit 341 Baymeadows'}
2016-11-29 23:44:47+00:00,CLEARED  Traffic congestion in Duval on I-295 E north from Exit 53 Butler to at Exit 51 Beach Blvd ,official,fl511_northeast,CLEARED  Traffic congestion in Duval on I-295 E north from Exit 53 Butler to at Exit 51 Beach Blvd ,1,At Cleared  Traffic Congestion At Duval At Interstate 295 East North From Exit 53 Butler To At Exit 51 Beach Boulevard ,{'East North'}
2016-11-29 23:44:35+00:00,CLEARED  Traffic congestion in Duval on SR-202   Butler Blvd east from before I-295 E to at Kernan Blvd ,official,fl511_northeast,CLEARED  Traffic congestion in Duval on SR-202   Butler Blvd east from before I-295 E to at Kernan Blvd ,1,At Cleared  Traffic Congestion At Duval At Sr-202   Butler Boulevard East From Before Interstate 295 East To At Kernan Boulevard ,{'Kernan Boulevard'}
2016-11-29 23:44:35+00:00,UPDATE  Traffic congestion in Duval on I-295 W north from Exit 5 San Jose to at Buckman ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-295 W north from Exit 5 San Jose to at Buckman ,1,At Update  Traffic Congestion At Duval At Interstate 295 West North From Exit 5 San Jose To At Buckman ,"{'Buckman', 'San Jose'}"
2016-11-29 23:44:34+00:00,CLEARED  Traffic congestion in Duval on I-95 south ramp to Exit 351 I-10 ,official,fl511_northeast,CLEARED  Traffic congestion in Duval on I-95 south ramp to Exit 351 I-10 ,1,At Cleared  Traffic Congestion At Duval At Interstate 95 South Ramp To Exit 351 Interstate 10 ,{'Exit 351 Interstate 10'}
2016-11-29 23:44:34+00:00,CLEARED  Traffic congestion in Duval on SR-202   Butler Blvd west from Southside to at I-95 ,official,fl511_northeast,CLEARED  Traffic congestion in Duval on SR-202   Butler Blvd west from Southside to at I-95 ,1,At Cleared  Traffic Congestion At Duval At Sr-202   Butler Boulevard West From Southside To At Interstate 95 ,{'Interstate 95'}
