date,text,type,username,tweet,state,road_closure,modified_text,location
2016-10-08 23:33:38+00:00,new  disabled vehicle in duval on sr-202   butler blvd east beyond kernan blvd right shoulder blocked ,official,fl511_northeast,NEW  Disabled vehicle in Duval on SR-202   Butler Blvd east beyond Kernan Blvd right shoulder blocked ,Florida,1,At New  Disabled Vehicle At Duval At Sr-202   Butler Blvd East Beyond Kernan Blvd Right Shoulder Blocked ,"{'Kernan Blvd Right Shoulder Blocked', 'Blvd East'}"
2016-10-08 23:18:05+00:00,new  disabled vehicle in duval on i-295 w north before san jose right lane blocked ,official,fl511_northeast,NEW  Disabled vehicle in Duval on I-295 W north before San Jose right lane blocked ,Florida,1,At New  Disabled Vehicle At Duval At Interstate 295 West North Before San Jose Right Lane Blocked ,"{'Interstate 295 West North', 'San Jose'}"
2016-10-08 21:58:06+00:00,new  unconfirmed disabled vehicle in duval on i-10 east ramp to i-95 ,official,fl511_northeast,NEW  Unconfirmed disabled vehicle in Duval on I-10 east ramp to I-95 ,Florida,1,At New  Unconfirmed Disabled Vehicle At Duval At Interstate 10 East Ramp To Interstate 95 ,{'Interstate 10 East Ramp To Interstate 95'}
2016-10-08 21:33:05+00:00,update  disabled vehicle in duval on i-295 w north before us-17 ,official,fl511_northeast,UPDATE  Disabled vehicle in Duval on I-295 W north before US-17 ,Florida,1,At Update  Disabled Vehicle At Duval At Interstate 295 West North Before Us-17 ,{'Interstate 295 West North'}
2016-10-08 21:28:40+00:00,new  disabled vehicle in duval on i-295 w north before us-17 ,official,fl511_northeast,NEW  Disabled vehicle in Duval on I-295 W north before US-17 ,Florida,1,At New  Disabled Vehicle At Duval At Interstate 295 West North Before Us-17 ,{'Interstate 295 West North'}
2016-10-08 20:53:15+00:00,new  disabled vehicle in duval on i-295 w north before pritchard rd ,official,fl511_northeast,NEW  Disabled vehicle in Duval on I-295 W north before Pritchard Rd ,Florida,1,At New  Disabled Vehicle At Duval At Interstate 295 West North Before Pritchard Rd ,{'Interstate 295 West North Before Pritchard Rd'}
2016-10-08 20:38:21+00:00,new  disabled vehicle in duval on i-295 e north ramp from exit 60 philips hwy ,official,fl511_northeast,NEW  Disabled vehicle in Duval on I-295 E north ramp from Exit 60 Philips Hwy ,Florida,1,At New  Disabled Vehicle At Duval At Interstate 295 East North Ramp From Exit 60 Philips Hwy ,{'Interstate 295 East North Ramp'}
2016-10-08 20:23:05+00:00,update  disabled vehicle in nassau on i-95 south beyond sr-200 ,official,fl511_northeast,UPDATE  Disabled vehicle in Nassau on I-95 south beyond SR-200 ,Florida,1,At Update  Disabled Vehicle At Nassau At Interstate 95 South Beyond Sr-200 ,{'Interstate 95 South Beyond Sr-200'}
2016-10-08 19:53:17+00:00,new  disabled vehicle in nassau on i-95 south beyond sr-200 ,official,fl511_northeast,NEW  Disabled vehicle in Nassau on I-95 south beyond SR-200 ,Florida,1,At New  Disabled Vehicle At Nassau At Interstate 95 South Beyond Sr-200 ,{'Interstate 95 South Beyond Sr-200'}
2016-10-08 19:48:05+00:00,update  weather event in nassau on sr-200 west at kingsley creek all lanes blocked ,official,fl511_northeast,UPDATE  Weather event in Nassau on SR-200 west at Kingsley Creek all lanes blocked ,Florida,1,At Update  Weather Event At Nassau At Sr-200 West At Kingsley Creek All Lanes Blocked ,{'Kingsley Creek All Lanes'}
2016-10-08 19:48:05+00:00,update  weather event in nassau on sr-200 east at kingsley creek all lanes blocked ,official,fl511_northeast,UPDATE  Weather event in Nassau on SR-200 east at Kingsley Creek all lanes blocked ,Florida,1,At Update  Weather Event At Nassau At Sr-200 East At Kingsley Creek All Lanes Blocked ,{'Kingsley Creek'}
2016-10-08 19:23:17+00:00,new  disabled vehicle in duval on i-295 w south before normandy blvd left shoulder blocked ,official,fl511_northeast,NEW  Disabled vehicle in Duval on I-295 W south before Normandy Blvd left shoulder blocked ,Florida,1,At New  Disabled Vehicle At Duval At Interstate 295 West South Before Normandy Blvd Left Shoulder Blocked ,"{'Normandy Blvd Left Shoulder', 'Interstate 295 West South'}"
2016-10-08 19:18:17+00:00,new  disabled truck in duval on i-95 north before butler ,official,fl511_northeast,NEW  Disabled truck in Duval on I-95 north before Butler ,Florida,1,At New  Disabled Truck At Duval At Interstate 95 North Before Butler ,{'Interstate 95 North Before'}
2016-10-08 19:08:32+00:00,new  disabled vehicle in duval on i-295 w south ramp to exit 22 commonwealth ,official,fl511_northeast,NEW  Disabled vehicle in Duval on I-295 W south ramp to Exit 22 Commonwealth ,Florida,1,At New  Disabled Vehicle At Duval At Interstate 295 West South Ramp To Exit 22 Commonwealth ,{'Interstate 295 West South Ramp To Exit 22 Commonwealth'}
2016-10-08 18:53:05+00:00,new  disabled truck in duval on i-295 w south before blanding blvd ,official,fl511_northeast,NEW  Disabled truck in Duval on I-295 W south before Blanding Blvd ,Florida,1,At New  Disabled Truck At Duval At Interstate 295 West South Before Blanding Blvd ,"{'Blanding Blvd', 'Interstate 295 West South'}"
2016-10-08 18:43:25+00:00,new  disabled vehicle in baker on i-10 east beyond sr-228 ,official,fl511_northeast,NEW  Disabled vehicle in Baker on I-10 east beyond SR-228 ,Florida,1,At New  Disabled Vehicle At Baker At Interstate 10 East Beyond Sr-228 ,{'Interstate 10 East Beyond'}
2016-10-08 18:13:16+00:00,on blanding blvd  sr-21 at branan field rd  sr-23 there is a lane blocked due to a wash out  please use caution in the area ,official,fl511_northeast,ON BLANDING BLVD  SR-21 AT BRANAN FIELD RD  SR-23 THERE IS A LANE BLOCKED DUE TO A WASH OUT  PLEASE USE CAUTION IN THE AREA ,Florida,1,At On Blanding Blvd  Sr-21 At Branan Field Rd  Sr-23 There Is A Lane Blocked Due To A Wash Out  Please Use Caution In The Area ,"{'Branan Field', 'Blanding Blvd'}"
2016-10-08 18:03:14+00:00,update  crash in duval on i-10 east ramp from us-17 on-ramp right lane blocked ,official,fl511_northeast,UPDATE  Crash in Duval on I-10 east ramp from US-17 on-ramp right lane blocked ,Florida,1,At Update  Crash At Duval At Interstate 10 East Ramp From Us-17 On-Ramp Right Lane Blocked ,{'Interstate 10 East Ramp'}
