date,geo,hashtags,id,text,type,username
2016-10-11 16:39:51+00:00,,,785882618852147201,The PIOH for the SR 138/I-20 is going on now until 8 p.m.pic.twitter.com/UVsI1GJOll – at American Legion Post 77,official,GDOTATL
2016-10-10 19:10:23+00:00,,,785558112682053632,We appreciate all the hard work our crews have done the last few days. They were incredibly dedicated to getting you home safe! PC: J.Coferpic.twitter.com/YunOqjiyNO,official,GDOTATL
2016-10-09 17:30:22+00:00,,,785170555456647168,Need info on re-entry? Check here! Also follow our partners. @511Georgia @GeorgiaEMApic.twitter.com/ycEJuAsgOd,official,GDOTATL
2016-10-09 15:45:11+00:00,,,785144083685793792,Do you need some updates? You can find ALL of them right here. http://ow.ly/hO7p30500Op pic.twitter.com/lwFcSJV9Yp,official,GDOTATL
2016-10-09 14:00:20+00:00,,,785117697583427585,Did you know that the @511Georgia website and app can give you details on road closures?,official,GDOTATL
2016-10-09 02:30:11+00:00,,,784944015879835648,"We are ready to be out there tomorrow morning to get the roads clear so you can get home. We are putting in a lot of hard work for you, GA!pic.twitter.com/3zOoTdNkZN",official,GDOTATL
2016-10-09 02:00:16+00:00,,,784936486521171968,"The roads are definitely not clear but if anybody can do it, its our crews and partners. @GeorgiaPower @ga_dps @GeorgiaEMApic.twitter.com/BfeJzIFw5Z",official,GDOTATL
2016-10-08 23:10:07+00:00,,,784893664980037632,"From dawn to dusk, we are still hard at work inspecting bridges. Please follow us here for updates. pic.twitter.com/T9WP8cTUtu",official,GDOTATL
2016-10-08 21:15:10+00:00,,,784864739881025536,"For the most up to date information on re-entry, check here! http://ow.ly/56aN304ZfW7 http://ow.ly/XpVV304ZfFJ",official,GDOTATL
2016-10-08 20:30:18+00:00,,,784853447371792384,We need you to have patience in clearing the roads. We want you to go home but we want you to arrive unharmed. We will update you ASAP.pic.twitter.com/4wJIVzyTOM,official,GDOTATL
2016-10-08 19:15:09+00:00,,,784834535670353920,"For the most up to date information on re-entry, check here! http://ow.ly/XpVV304ZfFJ",official,GDOTATL
2016-10-08 19:04:10+00:00,,,784831771439468544,Please WAIT to re-enter the coastal areas. We need to be able to get to our sites along with emergency personnel.pic.twitter.com/Ooex0BHCUz,official,GDOTATL
2016-10-08 01:30:12+00:00,,,784566531451748356,"100s of GDOT employees are here for you either on the roads or at offices. No matter the hour, send us a question and we will get to you.pic.twitter.com/zsbWhZ60B9",official,GDOTATL
