exit,crossSt,dir,lat,long,interstate,exits
1A,,South,25.75506,-80.202,Interstate 95,Exit 1A
1B,,North,25.76255,-80.1996,Interstate 95,Exit 1B
1B,,South,25.77588,-80.19986,Interstate 95,Exit 1B
2A,,North,25.77139,-80.19882,Interstate 95,Exit 2A
2B,,North,25.77339,-80.19866,Interstate 95,Exit 2B
2C,,South,25.7752,-80.19976,Interstate 95,Exit 2C
2D,,North,25.78082,-80.19989,Interstate 95,Exit 2D
3A,,South,25.79316,-80.20553000000001,Interstate 95,Exit 3A
3B,,South,25.7877,-80.20368,Interstate 95,Exit 3B
2D,,South,25.79003,-80.20486,Interstate 95,Exit 2D
4A,,North,25.78963,-80.20405,Interstate 95,Exit 4A
4B,,North,25.80777,-80.2057,Interstate 95,Exit 4B
4,,South,25.81704,-80.20640999999999,Interstate 95,Exit 4
6A,,North,25.82871,-80.20609,Interstate 95,Exit 6A
6A,,South,25.83547,-80.20619,Interstate 95,Exit 6A
6B,,South,25.83865,-80.20626999999999,Interstate 95,Exit 6B
7,,North,25.84436,-80.20663,Interstate 95,Exit 7
7,,South,25.852240000000002,-80.20815,Interstate 95,Exit 7
8A,,North,25.85877,-80.20804,Interstate 95,Exit 8A
8A,,South,25.86545,-80.20855,Interstate 95,Exit 8A
8B,,North,25.86639,-80.20825,Interstate 95,Exit 8B
8B,,South,25.87232,-80.20889,Interstate 95,Exit 8B
9,,North,25.88015,-80.20895,Interstate 95,Exit 9
10A,,North,25.88579,-80.20895,Interstate 95,Exit 10A
10A,,South,25.89282,-80.2096,Interstate 95,Exit 10A
10B,,North,25.89504,-80.20939,Interstate 95,Exit 10B
10B,,South,25.90352,-80.21025999999999,Interstate 95,Exit 10B
11,,North,25.90923,-80.20979,Interstate 95,Exit 11
12A,,North,25.91485,-80.20998,Interstate 95,Exit 12A
12B,,North,25.91485,-80.20998,Interstate 95,Exit 12B
12C,,North,25.927410000000002,-80.20649,Interstate 95,Exit 12C
12,,South,25.93208,-80.20374,Interstate 95,Exit 12
14,,North,25.94231,-80.18838000000001,Interstate 95,Exit 14
14,,South,25.9454,-80.18658,Interstate 95,Exit 14
16,,North,25.95798,-80.17107,Interstate 95,Exit 16
16,,South,25.96913,-80.16566,Interstate 95,Exit 16
18,,North,25.98013,-80.16557,Interstate 95,Exit 18
18,,South,25.99062,-80.166,Interstate 95,Exit 18
19,,North,25.99082,-80.16568000000001,Interstate 95,Exit 19
19,,South,26.0022,-80.16707,Interstate 95,Exit 19
20,,North,26.00517,-80.16668,Interstate 95,Exit 20
20,,South,26.01639,-80.16731999999999,Interstate 95,Exit 20
21,,North,26.02796,-80.1656,Interstate 95,Exit 21
21,,South,26.03903,-80.16371,Interstate 95,Exit 21
22,,North,26.04258,-80.16287,Interstate 95,Exit 22
22,,South,26.05334,-80.1624,Interstate 95,Exit 22
23,,North,26.05785,-80.16244,Interstate 95,Exit 23
23,,South,26.0763,-80.16851,Interstate 95,Exit 23
24,,North,26.07275,-80.16701,Interstate 95,Exit 24
25,,North,26.08296,-80.16838,Interstate 95,Exit 25
25,,South,26.09364,-80.16889,Interstate 95,Exit 25
26,,North,26.10127,-80.16868000000001,Interstate 95,Exit 26
26,,South,26.1146,-80.16911,Interstate 95,Exit 26
27,,North,26.10674,-80.16851,Interstate 95,Exit 27
27,,South,26.12778,-80.16945,Interstate 95,Exit 27
29A,,North,26.13487,-80.16919,Interstate 95,Exit 29A
29B,,North,26.13657,-80.16920999999999,Interstate 95,Exit 29B
29,,South,26.14193,-80.16977,Interstate 95,Exit 29
31A,,North,26.16215,-80.16228000000001,Interstate 95,Exit 31A
31B,,North,26.16681,-80.15928000000001,Interstate 95,Exit 31B
31,,South,26.17066,-80.15782,Interstate 95,Exit 31
32,,North,26.18225,-80.15245999999999,Interstate 95,Exit 32
32,,South,26.19338,-80.15156,Interstate 95,Exit 32
33A,,North,26.19977,-80.14775999999999,Interstate 95,Exit 33A
33B,,North,26.20462,-80.14231,Interstate 95,Exit 33B
33,,South,26.20751,-80.13986,Interstate 95,Exit 33
36,,North,26.2252,-80.13623,Interstate 95,Exit 36
36,,South,26.23763,-80.13665999999999,Interstate 95,Exit 36
38,,North,26.25424,-80.13651,Interstate 95,Exit 38
38A,,South,26.2592,-80.13441,Interstate 95,Exit 38A
38B,,South,26.2653,-80.12912,Interstate 95,Exit 38B
39,,North,26.26938,-80.12576999999999,Interstate 95,Exit 39
39,,South,26.28004,-80.12538,Interstate 95,Exit 39
41,,North,26.3002,-80.12066,Interstate 95,Exit 41
41,,South,26.30809,-80.11864,Interstate 95,Exit 41
42A,,North,26.31232,-80.11714,Interstate 95,Exit 42A
42B,,North,26.31885,-80.11612,Interstate 95,Exit 42B
42,,South,26.32481,-80.11681,Interstate 95,Exit 42
44,,North,26.34569,-80.11801,Interstate 95,Exit 44
44,,South,26.35669,-80.11925,Interstate 95,Exit 44
45,,North,26.36311,-80.11959,Interstate 95,Exit 45
45,,South,26.37418,-80.11654,Interstate 95,Exit 45
48A,,North,26.38674,-80.10438,Interstate 95,Exit 48A
48B,,North,26.39014,-80.09940999999999,Interstate 95,Exit 48B
48,,South,26.40076,-80.09024000000001,Interstate 95,Exit 48
50,,North,26.41663,-80.08973,Interstate 95,Exit 50
50,,South,26.42693,-80.09024000000001,Interstate 95,Exit 50
51,,North,26.43396,-80.08938,Interstate 95,Exit 51
51,,South,26.44472,-80.08972,Interstate 95,Exit 51
52,,North,26.45721,-80.08932,Interstate 95,Exit 52
52,,South,26.4667,-80.08928,Interstate 95,Exit 52
56,,North,26.50999,-80.07297,Interstate 95,Exit 56
56,,South,26.51974,-80.07271,Interstate 95,Exit 56
57,,North,26.52394,-80.07262,Interstate 95,Exit 57
57,,South,26.53369,-80.07356,Interstate 95,Exit 57
59,,North,26.54241,-80.07193000000001,Interstate 95,Exit 59
59,,South,26.558,-80.07,Interstate 95,Exit 59
60,,North,26.56856,-80.06944,Interstate 95,Exit 60
60,,South,26.578,-80.06944,Interstate 95,Exit 60
61,,North,26.58145,-80.06900999999999,Interstate 95,Exit 61
61,,South,26.59197,-80.06922,Interstate 95,Exit 61
63,,North,26.60294,-80.06883,Interstate 95,Exit 63
63,,South,26.61376,-80.06874,Interstate 95,Exit 63
64,,North,26.62212,-80.06732,Interstate 95,Exit 64
64,,South,26.63156,-80.06809,Interstate 95,Exit 64
66,,North,26.65062,-80.06839000000001,Interstate 95,Exit 66
66,,South,26.65983,-80.07066,Interstate 95,Exit 66
68,,North,26.67107,-80.07019,Interstate 95,Exit 68
68,,South,26.68514,-80.0689,Interstate 95,Exit 68
69,,North,26.67824,-80.06954,Interstate 95,Exit 69
69A,,South,26.68994,-80.06697,Interstate 95,Exit 69A
69B,,South,26.69667,-80.07,Interstate 95,Exit 69B
70,,North,26.702,-80.07266,Interstate 95,Exit 70
70,,South,26.70928,-80.07831999999999,Interstate 95,Exit 70
71,,North,26.71526,-80.08514,Interstate 95,Exit 71
71,,South,26.72369,-80.09158000000001,Interstate 95,Exit 71
74,,North,26.75431,-80.08973,Interstate 95,Exit 74
74,,South,26.764,-80.09342,Interstate 95,Exit 74
76,,North,26.77806,-80.09848000000001,Interstate 95,Exit 76
76,,South,26.78779,-80.09912,Interstate 95,Exit 76
77,,North,26.80442,-80.09822,Interstate 95,Exit 77
77,,South,26.81273,-80.09818,Interstate 95,Exit 77
79A,,North,26.8349,-80.09867,Interstate 95,Exit 79A
79B,,North,26.83995,-80.10185,Interstate 95,Exit 79B
79,,South,26.84345,-80.10458,Interstate 95,Exit 79
79C,,South,26.84954,-80.10849,Interstate 95,Exit 79C
83,,North,26.87649,-80.12437,Interstate 95,Exit 83
83,,South,26.88855,-80.13184,Interstate 95,Exit 83
87A,,North,26.93047,-80.14875,Interstate 95,Exit 87A
87A,,South,26.93388,-80.15025,Interstate 95,Exit 87A
87B,,North,26.93487,-80.14986,Interstate 95,Exit 87B
87B,,South,26.9395,-80.15175,Interstate 95,Exit 87B
96,,North,27.03684,-80.23301,Interstate 95,Exit 96
96,,South,27.05071,-80.23536999999999,Interstate 95,Exit 96
101,,North,27.10283,-80.25799,Interstate 95,Exit 101
101,,South,27.11448,-80.26464,Interstate 95,Exit 101
102,,North,27.12315,-80.27511,Interstate 95,Exit 102
102,,South,27.12376,-80.27738000000001,Interstate 95,Exit 102
110,,North,27.15634,-80.38716,Interstate 95,Exit 110
110,,South,27.166,-80.39287,Interstate 95,Exit 110
114,,South,27.20639,-80.40029,Interstate 95,Exit 114
114,,South,27.21551,-80.40085,Interstate 95,Exit 114
