location,time,tweet
"(49.93767, -97.19947)",2019-08-02 13:12:24,Updated  Crash in Duval on SR-202   Butler Blvd west at I-295 E right lane blocked  Last updated at 09 12 02AM   
"(30.33938, -81.67218)",2019-08-02 11:48:59,Jacksonville   There will be lane closure on New Kings Rd northbound from Dunn Ave to Woodley Rd due to    
"(41.53582, -8.25791)",2019-08-02 11:12:34,New  Disabled vehicle in Duval on I-295 E south at Dames Point right lane blocked  Last updated at 07 10 14AM     
"(18.79319, 100.7798)",2019-08-02 10:45:18,New  Planned construction in Clay on SR-21   Blanding Blvd south at CR-220 left lane blocked  Last updated at    
"(18.79319, 100.7798)",2019-08-02 10:34:38,635a- BIG 3 travel times     no problems on the early commute #ANJTraffic  ActionNewsJax  WOKVNews  
"(30.459770000000002, -81.67688000000003)",2019-08-02 02:34:14,New  Planned construction in Duval on I-295 W south ramp from Exit 33 Duval Rd off-ramp closed  Last updated at    
"(-32.09119, 115.92599)",2019-08-02 02:29:14,Updated  Planned construction in Duval on I-95 north at Atlantic Blvd 2 right lanes blocked  Last updated at    
"(30.256999999999998, -81.51787)",2019-08-02 02:20:17,New  Planned construction in Duval on I-295 E south ramp to Exit 53 Butler off-ramp closed  Last updated at    
"(49.44577, -97.28751)",2019-08-02 01:59:23,Updated  Planned construction in Alachua on SR-24   Archer Rd east at I-75 right lane blocked  Last updated at    
"(30.26736, -82.75739)",2019-08-02 01:59:23,Updated  Crash in Columbia on I-10 east at Exit 296 I-75 all lanes blocked  Last updated at 09 58 26PM   
"(30.26736, -82.75739)",2019-08-02 01:57:10,Updated  Crash in Columbia on I-10 east at Exit 296 I-75 all lanes blocked  Last updated at 09 56 54PM   
"(30.459770000000002, -81.67688000000003)",2019-08-02 01:55:11,New  Planned construction in Duval on I-295 W north ramp from Exit 33 Duval Rd right lane blocked  Last updated    
"(30.26736, -82.75739)",2019-08-02 01:41:20,Updated  Crash in Columbia on I-10 east ramp to Exit 296 I-75 all lanes blocked  Last updated at 09 40 24PM   
"(30.26736, -82.75739)",2019-08-02 01:28:32,Updated  Crash in Columbia on I-10 east ramp from Exit 296 I-75 all lanes blocked  Last updated at 09 25 21PM   
"(30.18913, -82.63691)",2019-08-02 01:28:16,Lake City  On I-10 EB at I-75 all eastbound lanes are blocked due to a crash  Use caution in the area   
"(30.26736, -82.75739)",2019-08-02 01:25:29,New  Crash in Columbia on I-10 east ramp from Exit 296 I-75 all lanes blocked  Last updated at 09 24 58PM  #fl511  
"(14.7187, 121.1383)",2019-08-02 01:23:13,Satsuma  On US-17 from Horse Landing Road to San Mateo Drive there will be lane closures due to construction  Use    
"(39.35288, -74.46033)",2019-08-02 01:18:17,New  Planned construction in Duval on I-95 north at Atlantic Blvd right lane blocked  Last updated at    
"(30.28852, -81.99056999999998)",2019-08-02 00:36:12,New  Planned construction in Duval on I-10 east at Exit 343 US-301 left lane blocked  Last updated at    
"(30.45315, -81.7098)",2019-08-01 23:45:23,Updated  Disabled vehicle in Duval on I-295 W south at Exit 32 Lem Turner left lane blocked  Last updated at    
"(30.31192, -81.5237)",2019-08-01 21:58:11,Updated  Multi-vehicle crash in Duval on I-295 E north at Exit 49 St Johns Bluff right lane blocked  Last    
"(17.11636, -61.84158)",2019-08-01 21:57:21,Updated  Planned construction in St Johns on SR-206 east at Intracoastal all lanes blocked  Last updated at    
"(18.79319, 100.7798)",2019-08-01 21:41:37,Crews are responding to a traffic accident at Blanding Blvd and Wesconnett    E23 advising that one person is trapp…  
"(30.19177, -81.69811)",2019-08-01 21:06:22,Updated  Crash in Duval on I-295 W north at Exit 10 US-17 right lane blocked  Last updated at 05 05 36PM   
"(30.19177, -81.69811)",2019-08-01 20:34:12,New  Crash in Duval on I-295 W north at Exit 10 US-17 right lane blocked  Last updated at 04 33 07PM  #fl511  
"(29.98212, -81.45913)",2019-08-01 19:10:25,New  Crash in St Johns on I-95 north ramp from Exit 323 Intl Golf Pkwy right lane blocked  Last updated at    
"(29.98212, -81.45913)",2019-08-01 18:59:18,Updated  Crash in St Johns on I-95 north at Exit 323 Intl Golf Pkwy 2 left lanes blocked  Last updated at    
"(29.98212, -81.45913)",2019-08-01 18:51:11,Updated  Crash in St Johns on I-95 north at Exit 323 Intl Golf Pkwy left lane blocked  Last updated at 02 50 19PM   
"(29.98212, -81.45913)",2019-08-01 18:49:22,New  Unconfirmed crash in St Johns on I-95 north at Exit 323 Intl Golf Pkwy left lane blocked  Last updated at    
"(37.98348, -89.22954)",2019-08-01 18:08:13,New  Draw bridge in up position in Duval on Main Street Bridge north at St Johns River all lanes blocked  Last    
"(37.98348, -89.22954)",2019-08-01 18:08:13,New  Draw bridge in up position in Duval on Main Street Bridge south at St Johns River all lanes blocked  Last    
"(17.11636, -61.84158)",2019-08-01 17:57:10,New  Planned construction in St Johns on SR-206 east at Intracoastal all lanes blocked  Last updated at    
"(30.43374, -81.76084)",2019-08-01 16:06:05,Jacksonville  Due to construction there will be lane closures on New Kings Rd from Woodley Rd to Dunn Avenue and    
"(18.79319, 100.7798)",2019-08-01 15:42:48,SR-520 is closed in both directions near St Johns River due to a crash  Motorists should expect delays and seek    
"(18.79319, 100.7798)",2019-08-01 11:53:25,750am- BIG 3 travel times    delays continue on I 10 #ANJTRaffic  ActionNewsJax  WOKVNews  
"(18.79319, 100.7798)",2019-08-01 11:08:03,New  Planned construction in Clay on SR-21   Blanding Blvd south at CR-220 left lane blocked  Last updated at    
"(18.79319, 100.7798)",2019-08-01 10:49:00,645am- Crash on the ramp to Chaffee road from I 10 WB #ANJTraffic  ActionNewsJax  
"(18.79319, 100.7798)",2019-08-01 10:38:55,Traffic deaths up for First Responders from last year  not good    Drivers remember to Move Over a lane whenever po…  
"(18.79319, 100.7798)",2019-08-01 09:53:13,Crews are wrapping up a mobile home structure fire in the 7500 block of Taurus Cir east    Red Cross has been reque…  
"(49.44577, -97.28751)",2019-08-01 09:49:33,Updated  Planned construction in Alachua on SR-24   Archer Rd east at I-75 right lane blocked  Last updated at    
"(-32.09119, 115.92599)",2019-08-01 05:31:54,New  Planned construction in Duval on I-95 north at Atlantic Blvd 2 right lanes blocked  Last updated at    
"(30.290540000000004, -81.52207)",2019-08-01 03:57:18,New  Crash in Duval on I-295 E north at Exit 51 Beach Blvd left lane blocked  Last updated at 11 47 19PM  #fl511  
"(30.290540000000004, -81.52207)",2019-08-01 03:48:12,Updated  Crash in Duval on I-295 E north at Exit 51 Beach Blvd on-ramp closed right lane blocked  Last updated    
"(30.256999999999998, -81.51787)",2019-08-01 03:40:13,New  Planned construction in Duval on I-295 E south ramp to Exit 53 Butler off-ramp closed  Last updated at    
"(30.256999999999998, -81.51787)",2019-08-01 03:38:13,New  Planned construction in Duval on I-295 E north ramp to Exit 53 Butler off-ramp closed  Last updated at    
"(-32.09119, 115.92599)",2019-08-01 03:35:10,Updated  Planned construction in Duval on I-95 north at Atlantic Blvd 2 right lanes blocked  Last updated at    
"(30.27157, -81.52147)",2019-08-01 03:20:15,Updated  Traffic congestion in Duval on I-295 E north from Exit 52 University Of North Florida to at Exit 49 St    
"(30.290540000000004, -81.52207)",2019-08-01 03:11:34,Updated  Crash in Duval on I-295 E north at Exit 51 Beach Blvd 2 right lanes blocked  Last updated at 11 09 19PM   
"(30.290540000000004, -81.52207)",2019-08-01 03:11:34,Updated  Crash in Duval on I-295 E north at Exit 51 Beach Blvd 2 right lanes blocked  Last updated at 11 10 07PM   
"(30.290540000000004, -81.52207)",2019-08-01 03:03:13,Updated  Crash in Duval on I-295 E north at Exit 51 Beach Blvd all lanes blocked  Last updated at 11 02 46PM   
"(30.290540000000004, -81.52207)",2019-08-01 03:02:16,New  Crash in Duval on I-295 E north at Exit 51 Beach Blvd all lanes blocked  Last updated at 11 01 06PM  #fl511  
"(41.45991, -81.75332)",2019-08-01 03:01:12,Updated  Planned construction in Duval on SR-202   Butler Blvd west at Gate Pkwy right lane blocked  Last    
"(30.290540000000004, -81.52207)",2019-08-01 02:55:07,Updated  Crash in Duval on I-295 E north at Exit 51 Beach Blvd all lanes blocked  Last updated at 10 54 22PM   
"(30.290540000000004, -81.52207)",2019-08-01 02:52:10,Updated  Crash in Duval on I-295 E north at Exit 51 Beach Blvd right lane blocked  Last updated at 10 51 16PM   
"(33.34109, -82.46906)",2019-08-01 02:32:20,Updated  Traffic congestion in Duval on I-95 north at Fuller Warren  Last updated at 10 31 29PM   
"(30.39003, -81.66778000000002)",2019-08-01 02:17:08,New  Disabled vehicle in Duval on I-95 north at Exit 357 Edgewood left lane blocked  Last updated at 10 16 10PM     
"(30.290540000000004, -81.52207)",2019-08-01 02:07:08,Updated  Traffic congestion in Duval on I-295 E north from Exit 51 Beach Blvd to at Exit 49 St Johns Bluff  Last    
"(33.34109, -82.46906)",2019-08-01 02:05:13,Updated  Traffic congestion in Duval on I-95 north at Fuller Warren  Last updated at 10 04 29PM   
"(49.44577, -97.28751)",2019-08-01 01:51:13,Updated  Planned construction in Alachua on SR-24   Archer Rd east at I-75 right lane blocked  Last updated at    
"(30.43487, -81.72636)",2019-08-01 01:42:34,New  Planned construction in Duval on I-295 W south at Exit 30 Dunn Ave right lane blocked  Last updated at    
"(30.31192, -81.5237)",2019-08-01 01:20:07,Updated  Traffic congestion in Duval on I-295 E north from before Beach Blvd to at Exit 49 St Johns Bluff  Last    
"(30.31192, -81.5237)",2019-08-01 01:07:08,New  Traffic congestion in Duval on I-295 E north at Exit 49 St Johns Bluff  Last updated at 09 06 44PM  #fl511  
"(30.28852, -81.99056999999998)",2019-08-01 01:06:08,New  Planned construction in Duval on I-10 east at Exit 343 US-301 left lane blocked  Last updated at    
"(27.33436, -82.44546)",2019-08-01 01:03:09,Updated  Crash in Duval on I-95 north at Fuller Warren 3 right lanes blocked  Last updated at 09 02 11PM   
"(33.34109, -82.46906)",2019-08-01 01:01:09,New  Traffic congestion in Duval on I-95 north at Fuller Warren  Last updated at 09 00 30PM  #fl511  
"(53.40642, -1.43923)",2019-08-01 00:54:52,Crews are responding to a traffic accident north bound on the Fuller Warren Bridge    S4 is on scene advising multiple patients    
"(39.35288, -74.46033)",2019-08-01 00:51:08,New  Planned construction in Duval on I-95 north at Atlantic Blvd right lane blocked  Last updated at    
"(30.31192, -81.5237)",2019-08-01 00:29:07,New  Planned construction in Duval on I-295 E north at Exit 49 St Johns Bluff right lane blocked  Last updated    
"(30.3353, -81.69532)",2019-08-01 00:16:57,Jacksonville Baldwin  There is construction on US-301 in both directions with the left lane blocked  Use caution    
